Format Version,1.23,Take Name,Take 2022-02-11 07.51.42 PM_004,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,50.000000,Capture Start Time,2022-02-11 08.22.15.784 ,Total Frames in Take,58575,Total Exported Frames,24407,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo
,ID,"13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
135,2.700000,-0.304540,0.298842,0.030663,-0.903885,-0.064639,0.142214,-0.009845,0.000258
136,2.720000,-0.308171,0.300545,0.030365,-0.902098,-0.064740,0.141184,-0.010552,0.000252
137,2.740000,-0.311217,0.299850,0.031224,-0.901254,-0.064743,0.140358,-0.010956,0.000257
138,2.760000,-0.314695,0.301977,0.031087,-0.899339,-0.064893,0.139487,-0.011615,0.000209
139,2.780000,-0.317166,0.301659,0.032465,-0.898529,-0.064955,0.138771,-0.012058,0.000199
140,2.800000,-0.320073,0.300624,0.031226,-0.897888,-0.065079,0.137821,-0.012565,0.000283
141,2.820000,-0.323237,0.300985,0.031980,-0.896607,-0.064885,0.137124,-0.012905,0.000211
142,2.840000,-0.326127,0.300364,0.032845,-0.895736,-0.064671,0.136469,-0.013196,0.000248
143,2.860000,-0.328134,0.300218,0.032424,-0.895067,-0.064510,0.135737,-0.013564,0.000307
144,2.880000,-0.331149,0.300090,0.032563,-0.893994,-0.064242,0.135065,-0.013853,0.000246
145,2.900000,-0.333561,0.298371,0.033875,-0.893624,-0.063909,0.134455,-0.014011,0.000245
146,2.920000,-0.335879,0.298663,0.033874,-0.892658,-0.063546,0.133760,-0.014391,0.000215
147,2.940000,-0.338226,0.297749,0.034358,-0.892059,-0.063185,0.133103,-0.014586,0.000185
148,2.960000,-0.339894,0.296046,0.034988,-0.891967,-0.062780,0.132483,-0.014795,0.000170
149,2.980000,-0.342681,0.295935,0.034663,-0.890950,-0.062352,0.131767,-0.015053,0.000223
150,3.000000,-0.344963,0.294105,0.035055,-0.890659,-0.061776,0.131201,-0.015112,0.000206
151,3.020000,-0.346584,0.292351,0.036163,-0.890563,-0.061174,0.130666,-0.015123,0.000182
152,3.040000,-0.347966,0.288998,0.036621,-0.891100,-0.060649,0.130104,-0.015132,0.000241
153,3.060000,-0.350393,0.288574,0.037315,-0.890257,-0.060112,0.129655,-0.015188,0.000233
154,3.080000,-0.352298,0.287380,0.037789,-0.889871,-0.059601,0.129231,-0.015231,0.000266
155,3.100000,-0.353975,0.285397,0.037401,-0.889860,-0.059118,0.128719,-0.015278,0.000207
156,3.120000,-0.355132,0.283409,0.037393,-0.890035,-0.058511,0.128300,-0.015254,0.000157
157,3.140000,-0.357253,0.281461,0.037611,-0.889795,-0.057908,0.127785,-0.015201,0.000194
158,3.160000,-0.358671,0.279190,0.037675,-0.889937,-0.057223,0.127386,-0.015114,0.000211
159,3.180000,-0.359158,0.274449,0.037807,-0.891209,-0.056548,0.127001,-0.014931,0.000249
160,3.200000,-0.360380,0.273349,0.038138,-0.891040,-0.055872,0.126703,-0.014879,0.000197
